structure_number,nbi_year,state,county,latitude,longitude,year_built,material_code,material,design_code,design_type,num_spans,structure_length_m,deck_width_m,condition_rating,hwb_class,deck_area_m2,design_era
52 0411R,2024,6,111,34.18026944444444,-118.88456944444444,1982,2,concrete,6,other,4,44.5,41.5,7.0,HWB6,1846.75,seismic
52 0412R,2024,6,111,34.18118888888888,-118.88644166666668,1982,2,concrete,6,other,9,68.1,41.5,7.0,HWB6,2826.15,seismic
52 0416F,2024,6,111,34.1789,-118.8602472222222,1970,2,concrete,6,other,3,61.9,11.9,7.0,HWB5,736.61,conventional
52 0417F,2024,6,111,34.179047222222216,-118.860825,1970,2,concrete,5,other,3,62.4,11.9,5.0,HWB5,742.5600000000001,conventional
52 0431,2024,6,111,34.40638611111111,-118.75331944444444,1998,3,steel,0,other,1,7.8,25.3,,HWB16,197.34,seismic
52 0432,2024,6,111,34.40674166666667,-118.73832222222222,1998,3,steel,0,other,1,7.8,24.3,,HWB16,189.54,seismic
52 0433,2024,6,111,34.40544722222222,-118.69990555555556,1998,3,steel,0,other,1,7.8,25.0,,HWB16,195.0,seismic
52C0004,2024,6,111,34.415502777777775,-118.78929722222222,1985,6,prestressed_concrete,6,other,5,125.9,11.0,7.0,HWB6,1384.9,seismic
52C0029,2024,6,111,34.265144444444445,-118.66878333333334,1962,1,concrete,0,other,1,11.9,19.5,7.0,HWB3,232.05,conventional
52C0082,2024,6,111,34.271652777777774,-118.70108888888888,1965,1,concrete,0,other,2,9.4,21.3,,HWB7,200.22000000000003,conventional
52C0085,2024,6,111,34.271594444444446,-118.73990833333332,1911,1,concrete,0,other,1,8.5,18.3,7.0,HWB3,155.55,conventional
52C0105,2024,6,111,34.27340555555556,-118.80009722222222,1967,1,concrete,0,other,1,10.7,27.2,,HWB3,291.04,conventional
52C0115,2024,6,111,34.27891666666667,-118.70238055555556,1980,5,prestressed_concrete,5,other,1,12.8,19.5,7.0,HWB4,249.6,seismic
52C0116,2024,6,111,34.278888888888886,-118.73276111111112,1965,1,concrete,0,other,2,9.8,19.4,,HWB7,190.12,conventional
52C0117,2024,6,111,34.26075,-118.74721944444444,1962,1,concrete,0,other,2,6.7,19.5,,HWB7,130.65,conventional
